Author,Scopus Author ID,Tags,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9,Level 10,Ongoing Correction Request
"Atencio, Reinaldo",55880919000,,ESPOL,Centros de Investigación Institucional,CIDNA,Profesores,,,,,,,
"Baykara, Haci",9244086100,,ESPOL,Centros de Investigación Institucional,CIDNA,Profesores,,,,,,,
"Cornejo, Mauricio Heriberto",57224322470,,ESPOL,Centros de Investigación Institucional,CIDNA,Profesores,,,,,,,
"Garcia-Troncoso, Natividad",57243724200,,ESPOL,Centros de Investigación Institucional,CIDNA,Profesores,,,,,,,
"Guarochico-Moreira, Víctor",57200414518,Director,ESPOL,Centros de Investigación Institucional,CIDNA,Profesores,,,,,,,
"Iza, P.",12144062100,,ESPOL,Centros de Investigación Institucional,CIDNA,Profesores,,,,,,,
"Rigail-Cedeño, Andrés",8905349600,,ESPOL,Centros de Investigación Institucional,CIDNA,Profesores,,,,,,,
"Caceres, Julio",57210820496,,ESPOL,Centros de Investigación Institucional,CIDNA,Técnicos de investigación,,,,,,,
"Altamirano, Luis M.",57202863855,,ESPOL,Centros de Investigación Institucional,CIP-RRD,Profesores,,,,,,,
"Andrade-García, Gina",57220068385,,ESPOL,Centros de Investigación Institucional,CIP-RRD,Profesores,,,,,,,
"Asencio, Jose Luis",57217245534,,ESPOL,Centros de Investigación Institucional,CIP-RRD,Profesores,,,,,,,
"Borbor, Mercy Cordova",57200165308,,ESPOL,Centros de Investigación Institucional,CIP-RRD,Profesores,,,,,,,
"Castillo, María José",24461218700,,ESPOL,Centros de Investigación Institucional,CIP-RRD,Profesores,,,,,,,
"Cedeño, Jonathan",57220067487,,ESPOL,Centros de Investigación Institucional,CIP-RRD,Profesores,,,,,,,
"Cornejo-Rodriguez, Maria del Pilar",57189254420,Directora,ESPOL,Centros de Investigación Institucional,CIP-RRD,Profesores,,,,,,,
"Delgado, Erwin",57226779473,,ESPOL,Centros de Investigación Institucional,CIP-RRD,Profesores,,,,,,,
"Ormaza-González, Franklin Isaac",6506478826,,ESPOL,Centros de Investigación Institucional,CIP-RRD,Profesores,,,,,,,
"Rincón, Gladys",55945280500,,ESPOL,Centros de Investigación Institucional,CIP-RRD,Profesores,,,,,,,
"Andrade Bowen, Gabriela ",57220067759,,ESPOL,Centros de Investigación Institucional,CIP-RRD,Colaborador Externo,,,,,,,
"Caiza Quinga, Rommel",57218441880,,ESPOL,Centros de Investigación Institucional,CIP-RRD,Colaborador Externo,,,,,,,
"Mora-Frank, Carlos V.",57216865424,,ESPOL,Centros de Investigación Institucional,CIPAT,Pasante de investigación,,,,,,,
"Carrión Mero, Paúl C.C.M.",57208038096,Director,ESPOL,Centros de Investigación Institucional,CIPAT,Profesores,,,,,,,
"Montalvan-Burbano, Nestor",57210814655,,ESPOL,Centros de Investigación Institucional,CIPAT,Profesores,,,,,,,
"Montoya, Andrés Danilo Velástegui",57208080722,,ESPOL,Centros de Investigación Institucional,CIPAT,Profesores,,,,,,,
"Morante, Fernando E.",23568713200,,ESPOL,Centros de Investigación Institucional,CIPAT,Profesores,,,,,,,
"Rojas, Pedro",57206415452,,ESPOL,Centros de Investigación Institucional,CIPAT,Profesores,,,,,,,
"Ángel Chávez, Miguel",57222494555,,ESPOL,Centros de Investigación Institucional,CIPAT,Profesores,,,,,,,
"Aguilar-Aguilar, Maribel",57212500505,,ESPOL,Centros de Investigación Institucional,CIPAT,Técnicos de investigación,,,,,,,
"Briones Bitar, Josué",57212500382,,ESPOL,Centros de Investigación Institucional,CIPAT,Técnicos de investigación,,,,,,,
"Jaya-Montalvo, María",57216526065,,ESPOL,Centros de Investigación Institucional,CIPAT,Técnicos de investigación,,,,,,,
"Abad, Andres G.",55965684700,,ESPOL,Centros de Investigación Institucional,CTI,Profesores,,,,,,,
"Chiluiza, Katherine",55975399800,Directora,ESPOL,Centros de Investigación Institucional,CTI,Profesores,,,,,,,
"Domínguez, Federico",8338734700,CTI|CTI,ESPOL,Centros de Investigación Institucional,CTI,Profesores,,,,,,,
"Echeverria, Vanessa",56016639400,,ESPOL,Centros de Investigación Institucional,CTI,Profesores,,,,,,,
"Estrada, Rebeca L.",55548968500,CTI|CTI,ESPOL,Centros de Investigación Institucional,CTI,Profesores,,,,,,,
"Méndez, Gonzalo Gabriel",56725883600,CTI|CTI,ESPOL,Centros de Investigación Institucional,CTI,Profesores,,,,,,,
"Eras, Leonardo",36058820600,,ESPOL,Centros de Investigación Institucional,CTI,Técnicos de investigación,,,,,,,
"Irving, Valeriano C.",57190838247,,ESPOL,Centros de Investigación Institucional,CTI,Técnicos de investigación,,,,,,,
"Martinez, Caril",57235542500,,ESPOL,Centros de Investigación Institucional,CTI,Técnicos de investigación,,,,,,,
"Torres, Danny",57280663700,,ESPOL,Centros de Investigación Institucional,CTI,Técnicos de investigación,,,,,,,
"Moreno, Oscar",57367326300,,ESPOL,Centros de Investigación Institucional,CTI,Técnicos de investigación,,,,,,,
"Mendoza, Patricio",57367531500,,ESPOL,Centros de Investigación Institucional,CTI,Técnicos de investigación,,,,,,,
"Delgado-Plaza, Emérita",57201852080,,ESPOL,Centros de Investigación vinculados a la Facultad,CDTS,,,,,,,,
"Maldonado, Fausto",57201852634,,ESPOL,Centros de Investigación vinculados a la Facultad,CDTS,,,,,,,,
"Peralta-Jaramillo, Juan",57034239100,,ESPOL,Centros de Investigación vinculados a la Facultad,CDTS,,,,,,,,
"Quilambaqui, Miguel Angel",57206770125,,ESPOL,Centros de Investigación vinculados a la Facultad,CDTS,,,,,,,,
"Zabala, Gonzalo",57191724800,,ESPOL,Centros de Investigación vinculados a la Facultad,CDTS,,,,,,,,
"Castillo, José Gabriel Gabriel",57214066569,,ESPOL,Centros de Investigación vinculados a la Facultad,CIEC,Profesores,,,,,,,
"Sánchez, Gonzalo E.",57191962187,Director,ESPOL,Centros de Investigación vinculados a la Facultad,CIEC,Profesores,,,,,,,
"Sánchez-Aragón, Leonardo",57194431560,,ESPOL,Centros de Investigación vinculados a la Facultad,CIEC,Profesores,,,,,,,
"Yoong-Parraga, Cristina",57216488438,,ESPOL,Centros de Investigación vinculados a la Facultad,CIEC,Profesores,,,,,,,
"Campoverde, Ronald",57211356171,,ESPOL,Centros de Investigación vinculados a la Facultad,CIEC,Profesores,,,,,,,
"Solórzano, G.",55963018100,,ESPOL,Centros de Investigación vinculados a la Facultad,CIEC,Profesores,,,,,,,
"Domínguez-Andrade, Juan Manuel",57194599642,,ESPOL,Centros de Investigación vinculados a la Facultad,CIR,,,,,,,,
"Espinel, Ramón L.",6506640774,Director,ESPOL,Centros de Investigación vinculados a la Facultad,CIR,,,,,,,,
"Penafiel, Daniela",52664033100,,ESPOL,Centros de Investigación vinculados a la Facultad,CIR,,,,,,,,
"Rhodes, Lauren A.",57216874311,,ESPOL,Centros de Investigación vinculados a la Facultad,CIR,,,,,,,,
"Villa-Cox, Gonzalo",55553169400,,ESPOL,Centros de Investigación vinculados a la Facultad,CIR,,,,,,,,
"Abad, Cristina L.",22957218500,,ESPOL,Centros de Investigación vinculados a la Facultad,CTD,,,,,,,,
"Ochoa, Daniel",36795354300,,ESPOL,Centros de Investigación vinculados a la Facultad,CTD,,,,,,,,
"Plaza, Douglas Antonio",24829599200,,ESPOL,Centros de Investigación vinculados a la Facultad,CTD,,,,,,,,
"Vaca, Carmen",57201576771,,ESPOL,Centros de Investigación vinculados a la Facultad,CTD,,,,,,,,
"Vargas, German R.",36631075000,,ESPOL,Centros de Investigación vinculados a la Facultad,CTD,,,,,,,,
"Villavicencio, Monica",54914547100,,ESPOL,Centros de Investigación vinculados a la Facultad,CTD,,,,,,,,
"Marcos, Jorge G.",57191885109,,ESPOL,Centros de Investigación vinculados a la Facultad,CEAA,,,,,,,,
"Mongeló, Guilherme Z",40461869000,,ESPOL,Centros de Investigación vinculados a la Facultad,CEAA,,,,,,,,
"Amaya Rivas, Adriana Andrea",57194024256,,ESPOL,Unidades Académicas,ESPAE,,,,,,,,
"Bustamante, Juan Carlos",57202689227,,ESPOL,Unidades Académicas,ESPAE,,,,,,,,
"Castillo, María José",57224398122,,ESPOL,Unidades Académicas,ESPAE,,,,,,,,
"Granda, María",57216641341,,ESPOL,Unidades Académicas,ESPAE,,,,,,,,
"Morello, Maria Virginia Lasio",36056968000,,ESPOL,Unidades Académicas,ESPAE,,,,,,,,
"Ochoa, Paola",57194747139,,ESPOL,Unidades Académicas,ESPAE,,,,,,,,
"Ordeñana, Xavier",55961691000,,ESPOL,Unidades Académicas,ESPAE,,,,,,,,
"Rodriguez, Jorge A.",56316997000,,ESPOL,Unidades Académicas,ESPAE,,,,,,,,
"Wong, Sara A.",7404590678,,ESPOL,Unidades Académicas,ESPAE,,,,,,,,
"Coello-Montecel, David",57221085163,,ESPOL,Unidades Académicas,ESPAE,Asistente de Investigación,,,,,,,
"Vera-Gilces, Paul",57194559112,,ESPOL,Unidades Académicas,ESPAE,Asistente de Investigación,,,,,,,
"Domínguez-Andrade, Juan Manuel",57194599642,,ESPOL,Unidades Académicas,ESPAE,CIR,,,,,,,
"Balbuena, Iria Cabrera",57218561925,,ESPOL,Unidades Académicas,FADCOM,,,,,,,,
"De Lourdes Pilay, María",57216874692,,ESPOL,Unidades Académicas,FADCOM,,,,,,,,
"Del Pino Espinoza, Ariana Daniela",57193533197,,ESPOL,Unidades Académicas,FADCOM,,,,,,,,
"Matovelle Villamar, Ruth",57193527691,,ESPOL,Unidades Académicas,FADCOM,,,,,,,,
"Polo Blanco, Jorge",57210897813,,ESPOL,Unidades Académicas,FADCOM,,,,,,,,
"Solorzano, Nayeth I.",57192008773,,ESPOL,Unidades Académicas,FADCOM,,,,,,,,
"Ulloa-López, Paola",57203861927,,ESPOL,Unidades Académicas,FADCOM,,,,,,,,
"Cárdenas-Escobar, Nadia",57211353875,,ESPOL,Unidades Académicas,FCNM,Estadística,,,,,,,
"Ruiz-Barzola, Omar",57366113100,,ESPOL,Unidades Académicas,FCNM,Estadística,,,,,,,
"Vera, Francisco",57188825789,,ESPOL,Unidades Académicas,FCNM,Estadística,,,,,,,
"Bauz-Olvera, Sergio A.",57204286989,,ESPOL,Unidades Académicas,FCNM,Estadística,,,,,,,
"Cevallos-Valdiviezo, Holger",56595230300,,ESPOL,Unidades Académicas,FCNM,Estadística,,,,,,,
"Garcia-Angulo, Andrea C.",57572669100,,ESPOL,Unidades Académicas,FCNM,Estadística,,,,,,,
"García-Bustos, Sandra",55553022100,,ESPOL,Unidades Académicas,FCNM,Estadística,,,,,,,
"González-Narváez, Mariela",57224307911,,ESPOL,Unidades Académicas,FCNM,Estadística,,,,,,,
